principal_component,explained_variance_ratio,cumulative_explained_variance
PC226,0.00017062827574923164,0.9800686697273154
PC227,0.00016949573175760368,0.980238165459073
PC228,0.00016869314586920832,0.9804068586049423
PC229,0.00016751118032257796,0.9805743697852648
PC230,0.00016611224361046456,0.9807404820288753
PC231,0.00016491584213444358,0.9809053978710097
PC232,0.0001638862804776452,0.9810692841514874
PC233,0.00016349281160304028,0.9812327769630904
PC234,0.00016196600477947886,0.9813947429678699
PC235,0.00016079986707731627,0.9815555428349472
PC236,0.00015925534043110498,0.9817147981753783
PC237,0.0001574561424303691,0.9818722543178087
PC238,0.00015558090994028872,0.982027835227749
PC239,0.0001549307499474067,0.9821827659776964
PC240,0.00015435034177891527,0.9823371163194753
PC241,0.00015140833172480007,0.9824885246512001
PC242,0.0001507257378521153,0.9826392503890522
PC243,0.00014990769620986443,0.982789158085262
PC244,0.00014907779106585747,0.9829382358763279
PC245,0.00014719788736130028,0.9830854337636892
PC246,0.0001444221313714112,0.9832298558950606
PC247,0.00014328432105255784,0.9833731402161132
PC248,0.00014261044196373614,0.983515750658077
PC249,0.00014193447485846453,0.9836576851329354
PC250,0.0001408755607108403,0.9837985606936462
PC251,0.00013992136135452905,0.9839384820550008
PC252,0.0001397035370836417,0.9840781855920844
PC253,0.00013935983651522707,0.9842175454285996
PC254,0.00013844737574688905,0.9843559928043465
PC255,0.00013756540855211738,0.9844935582128986
PC256,0.00013661402725588566,0.9846301722401545
PC257,0.00013595077458435992,0.9847661230147389
PC258,0.00013179490647557819,0.9848979179212144
PC259,0.00013110358248149105,0.9850290215036959
PC260,0.00013035773583585427,0.9851593792395317
PC261,0.00013013203066789778,0.9852895112701996
PC262,0.00012924636277095213,0.9854187576329706
PC263,0.0001283118707070626,0.9855470695036777
PC264,0.00012813838255562178,0.9856752078862333
PC265,0.00012676917666498748,0.9858019770628983
PC266,0.00012632909990969781,0.985928306162808
PC267,0.00012624414115399953,0.986054550303962
PC268,0.00012539127728211622,0.9861799415812441
PC269,0.00012471136820891521,0.986304652949453
PC270,0.00012384459292739071,0.9864284975423804
PC271,0.0001228480393627692,0.9865513455817432
PC272,0.00012093491843327601,0.9866722805001764
PC273,0.0001201311967661945,0.9867924116969427
PC274,0.00011922712537415892,0.9869116388223168
PC275,0.00011851056297246829,0.9870301493852893
PC276,0.00011712275602396421,0.9871472721413133
PC277,0.00011670729725260562,0.9872639794385659
PC278,0.00011642919808746523,0.9873804086366534
PC279,0.00011588513586770784,0.9874962937725211
PC280,0.00011530016869209062,0.9876115939412132
PC281,0.00011475549865725777,0.9877263494398705
PC282,0.000113926150258954,0.9878402755901294
PC283,0.00011358595114334638,0.9879538615412727
PC284,0.00011262245807214573,0.9880664839993449
PC285,0.00011157628131516369,0.9881780602806601
PC286,0.00011116448246960541,0.9882892247631297
PC287,0.00011038447828606774,0.9883996092414158
PC288,0.00010954062360173328,0.9885091498650175
PC289,0.00010917800793908952,0.9886183278729566
PC290,0.0001083583906920219,0.9887266862636486
PC291,0.00010685263540576717,0.9888335388990543
PC292,0.00010587087990871296,0.9889394097789631
PC293,0.00010490259849054608,0.9890443123774536
PC294,0.00010455987439188679,0.9891488722518454
PC295,0.00010403449507673064,0.9892529067469221
PC296,0.0001032333663226558,0.9893561401132448
PC297,0.00010153919869464095,0.9894576793119394
PC298,0.00010114928125551527,0.9895588285931949
PC299,0.00010053537653723202,0.9896593639697321
PC300,0.00010033622640110707,0.9897597001961332
PC301,9.978096997507618e-05,0.9898594811661083
PC302,9.93292890905139e-05,0.9899588104551988
PC303,9.871484478304613e-05,0.9900575252999819
PC304,9.771269616731015e-05,0.9901552379961492
PC305,9.716225827593825e-05,0.9902524002544252
PC306,9.685205208721662e-05,0.9903492523065124
PC307,9.554980203000831e-05,0.9904448021085424
PC308,9.538358811941346e-05,0.9905401856966618
PC309,9.443407909336163e-05,0.9906346197757552
PC310,9.438781002676875e-05,0.990729007585782
PC311,9.39239573274194e-05,0.9908229315431094
PC312,9.380745923229769e-05,0.9909167390023417
PC313,9.262996999961748e-05,0.9910093689723413
PC314,9.226826482751839e-05,0.9911016372371688
PC315,9.118133881698816e-05,0.9911928185759858
PC316,9.093200712486152e-05,0.9912837505831107
PC317,9.056514122356245e-05,0.9913743157243342
PC318,9.035660054047453e-05,0.9914646723248747
PC319,9.015950663292131e-05,0.9915548318315076
PC320,8.983943540452386e-05,0.9916446712669121
PC321,8.934652804733673e-05,0.9917340177949595
PC322,8.876801933850346e-05,0.9918227858142981
PC323,8.82465041319847e-05,0.99191103231843
PC324,8.799361158034237e-05,0.9919990259300103
PC325,8.75319434674065e-05,0.9920865578734778
PC326,8.662987437629293e-05,0.992173187747854
PC327,8.50386977373979e-05,0.9922582264455914
PC328,8.489958365102046e-05,0.9923431260292424
PC329,8.4782495342483e-05,0.9924279085245848
PC330,8.401101117772066e-05,0.9925119195357626
PC331,8.391416360863406e-05,0.9925958336993712
PC332,8.303748821817248e-05,0.9926788711875894
PC333,8.197961990441065e-05,0.9927608508074938
PC334,8.153834991764413e-05,0.9928423891574114
PC335,8.07601937236656e-05,0.9929231493511351
PC336,8.012839923620067e-05,0.9930032777503713
PC337,7.946592285891289e-05,0.9930827436732302
PC338,7.889834104784306e-05,0.993161642014278
PC339,7.722682020111264e-05,0.9932388688344791
PC340,7.622667532556246e-05,0.9933150955098047
PC341,7.61162056613186e-05,0.993391211715466
PC342,7.584881914406624e-05,0.99346706053461
PC343,7.471215235755677e-05,0.9935417726869675
PC344,7.438109596309879e-05,0.9936161537829307
PC345,7.353968205678577e-05,0.9936896934649875
PC346,7.317707748224162e-05,0.9937628705424697
PC347,7.187189713012261e-05,0.9938347424395998
PC348,7.11652550433703e-05,0.9939059076946432
PC349,7.052642339001004e-05,0.9939764341180332
PC350,6.912329587057691e-05,0.9940455574139038
PC351,6.79912112815411e-05,0.9941135486251853
PC352,6.778971165233973e-05,0.9941813383368376
PC353,6.746353317123346e-05,0.9942488018700089
PC354,6.731552966682021e-05,0.9943161173996756
PC355,6.666534521688649e-05,0.9943827827448926
PC356,6.638947654208767e-05,0.9944491722214347
PC357,6.553176524003351e-05,0.9945147039866747
PC358,6.538698971351251e-05,0.9945800909763882
PC359,6.496157113171628e-05,0.9946450525475199
PC360,6.470272723313715e-05,0.994709755274753
PC361,6.446015534124574e-05,0.9947742154300943
PC362,6.408482133337385e-05,0.9948383002514276
PC363,6.385099181452559e-05,0.9949021512432421
PC364,6.344295472007481e-05,0.9949655941979622
PC365,6.259251953528311e-05,0.9950281867174975
PC366,6.218528533740746e-05,0.9950903720028349
PC367,6.142835765310919e-05,0.995151800360488
PC368,6.118920032764485e-05,0.9952129895608156
PC369,6.094913235905581e-05,0.9952739386931747
PC370,6.045482624012357e-05,0.9953343935194149
PC371,6.0052936347546963e-05,0.9953944464557625
PC372,5.976773724720092e-05,0.9954542141930097
PC373,5.8955438212377064e-05,0.995513169631222
PC374,5.8333950747949585e-05,0.99557150358197
PC375,5.7986939914927976e-05,0.9956294905218849
PC376,5.775745414578673e-05,0.9956872479760307
PC377,5.731318164311725e-05,0.9957445611576738
PC378,5.7057033100689825e-05,0.9958016181907745
PC379,5.691902852996392e-05,0.9958585372193045
PC380,5.670402000355045e-05,0.9959152412393081
PC381,5.648801853332225e-05,0.9959717292578414
PC382,5.5934099352929655e-05,0.9960276633571943
PC383,5.569988177579154e-05,0.9960833632389701
PC384,5.495041882606465e-05,0.9961383136577961
