group_variable,group_value,sessions,actual_future_purchase_rate,positive_prediction_rate,precision,recall_true_positive_rate,false_positive_rate,false_negative_rate,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,positive_prediction_rate_percent,actual_future_purchase_rate_percent,risk_view
brand_clean_second_grouped,oppo,202,0.15346534653465346,0.17326732673267325,0.6285714285714286,0.7096774193548387,0.07602339181286549,0.2903225806451613,0.6666666666666666,0.8910891089108911,22,13,9,158,17.326732673267326,15.346534653465346,Highest positive prediction rate groups
brand_clean_second_grouped,samsung,1861,0.18699623858140785,0.17141321869962386,0.6614420062695925,0.6063218390804598,0.0713813615333774,0.3936781609195402,0.6326836581709145,0.8683503492745835,211,108,137,1405,17.141321869962386,18.699623858140786,Highest positive prediction rate groups
brand_clean_first_grouped,samsung,1904,0.19065126050420167,0.16754201680672268,0.6614420062695925,0.581267217630854,0.07008436080467229,0.418732782369146,0.6187683284457478,0.8634453781512605,211,108,152,1433,16.754201680672267,19.06512605042017,Highest positive prediction rate groups
brand_clean_first_grouped,huawei,273,0.18315018315018314,0.1575091575091575,0.7209302325581395,0.62,0.053811659192825115,0.38,0.6666666666666666,0.8864468864468864,31,12,19,211,15.75091575091575,18.315018315018314,Highest positive prediction rate groups
first_category_group,construction,4002,0.16041979010494753,0.1454272863568216,0.6529209621993127,0.5919003115264797,0.06011904761904762,0.40809968847352024,0.6209150326797386,0.8840579710144928,380,202,262,3158,14.54272863568216,16.041979010494753,Highest positive prediction rate groups
second_category_group,construction,4005,0.15905118601747814,0.1453183520599251,0.6529209621993127,0.5965463108320251,0.05997624703087886,0.40345368916797486,0.623461853978671,0.8853932584269663,380,202,257,3166,14.531835205992511,15.905118601747814,Highest positive prediction rate groups
brand_clean_second_grouped,huawei,297,0.17845117845117844,0.1447811447811448,0.7209302325581395,0.5849056603773585,0.04918032786885246,0.41509433962264153,0.6458333333333334,0.8855218855218855,31,12,22,232,14.47811447811448,17.845117845117844,Highest positive prediction rate groups
first_price_band,Upper-middle price quartile,3470,0.16224783861671468,0.13948126801152738,0.6900826446280992,0.5932504440497336,0.05159958720330237,0.4067495559502664,0.6380133715377269,0.8907780979827089,334,150,229,2757,13.948126801152739,16.22478386167147,Highest positive prediction rate groups
brand_clean_second_grouped,lg,197,0.16243654822335024,0.13705583756345177,0.6296296296296297,0.53125,0.06060606060606061,0.46875,0.576271186440678,0.8730964467005076,17,10,15,155,13.705583756345177,16.243654822335024,Highest positive prediction rate groups
early_cart_group,No cart in first two events,12447,0.07704667791435688,0.0017674941753032859,0.36363636363636365,0.008342022940563087,0.0012186629526462396,0.9916579770594369,0.0163098878695209,0.9224712782196514,8,14,951,11474,0.17674941753032858,7.704667791435687,Highest false negative rate groups
brand_clean_first_grouped,defacto,327,0.0672782874617737,0.01529051987767584,0.4,0.09090909090909091,0.009836065573770493,0.9090909090909091,0.14814814814814814,0.9296636085626911,2,3,20,302,1.529051987767584,6.727828746177369,Highest false negative rate groups
brand_clean_second_grouped,defacto,329,0.06382978723404255,0.015197568389057751,0.4,0.09523809523809523,0.00974025974025974,0.9047619047619048,0.15384615384615385,0.9331306990881459,2,3,19,305,1.5197568389057752,6.382978723404255,Highest false negative rate groups
