model,threshold,sessions_targeted,percentage_sessions_targeted,true_future_purchases_targeted,precision,recall,f1_score,accuracy
Tuned LightGBM,0.15,13827,99.33189655172414,1833,0.13256671729225428,0.9994547437295529,0.23408466892280186,0.13829022988505746
Tuned LightGBM,0.2,13444,96.58045977011494,1822,0.135525141326986,0.9934569247546347,0.23851289435790024,0.1642241379310345
Tuned LightGBM,0.25,12430,89.29597701149426,1782,0.1433628318584071,0.9716466739367503,0.2498597868760516,0.23132183908045978
Tuned LightGBM,0.3,10481,75.29454022988506,1687,0.16095792386222688,0.9198473282442748,0.27397482744620383,0.3576867816091954
Tuned LightGBM,0.35,7961,57.19109195402299,1531,0.19231252355231754,0.8347873500545256,0.3126084737110771,0.5163074712643678
Tuned LightGBM,0.4,4840,34.770114942528735,1302,0.2690082644628099,0.7099236641221374,0.39017081210668264,0.7076149425287356
Tuned LightGBM,0.45,2995,21.51580459770115,1093,0.3649415692821369,0.5959651035986914,0.4526817146407124,0.8101293103448276
Tuned LightGBM,0.5,2006,14.410919540229886,971,0.48404785643070786,0.5294438386041439,0.5057291666666667,0.8636494252873563
Tuned LightGBM,0.55,1674,12.025862068965518,923,0.551373954599761,0.5032715376226826,0.5262257696693272,0.8806034482758621
Tuned LightGBM,0.6,1475,10.596264367816092,894,0.6061016949152542,0.48745910577971646,0.5403445149592022,0.8907327586206897
Tuned LightGBM,0.65,1473,10.581896551724137,893,0.606245756958588,0.48691384950926936,0.5400665255518597,0.8907327586206897
Tuned LightGBM,0.7,1460,10.488505747126437,888,0.6082191780821918,0.4841875681570338,0.5391621129326047,0.8909482758620689
Tuned LightGBM,0.75,1452,10.431034482758621,883,0.6081267217630854,0.48146128680479827,0.5374315276932441,0.8908045977011494
Tuned LightGBM,0.8,1424,10.229885057471265,869,0.610252808988764,0.4738276990185387,0.5334561080417434,0.8908045977011494
Tuned LightGBM,0.85,1223,8.785919540229886,772,0.6312346688470973,0.42093784078516905,0.5050703303892705,0.8913074712643678
Tuned LightGBM,0.9,759,5.452586206896552,524,0.6903820816864296,0.2857142857142857,0.4041650597763209,0.8890086206896551
XGBoost,0.1,13833,99.375,1833,0.13250921708956842,0.9994547437295529,0.2339950213825238,0.13785919540229885
XGBoost,0.15,13450,96.62356321839081,1820,0.13531598513011153,0.9923664122137404,0.2381575503794818,0.16350574712643678
XGBoost,0.2,12659,90.941091954023,1795,0.14179635042262423,0.9787350054525628,0.24770578900158696,0.21673850574712644
XGBoost,0.25,11218,80.58908045977012,1737,0.1548404350151542,0.9471101417666303,0.26616610481152314,0.31192528735632186
XGBoost,0.3,9304,66.83908045977012,1630,0.17519346517626827,0.8887677208287895,0.29269168611959057,0.434051724137931
XGBoost,0.35,7316,52.55747126436782,1503,0.20544013121924548,0.8195201744820065,0.3285245901639344,0.5586206896551724
XGBoost,0.4,5343,38.383620689655174,1362,0.2549129702414374,0.742639040348964,0.379545771213599,0.6801005747126436
XGBoost,0.45,3681,26.44396551724138,1177,0.3197500679163271,0.6417666303162486,0.4268359020852221,0.7729166666666667
XGBoost,0.5,2426,17.428160919540232,1026,0.4229183841714757,0.559432933478735,0.48169014084507045,0.8413793103448276
XGBoost,0.55,1856,13.333333333333334,958,0.5161637931034483,0.5223555070883316,0.5192411924119241,0.8725574712643678
XGBoost,0.6,1515,10.883620689655173,902,0.5953795379537954,0.49182115594329334,0.5386682591818454,0.8890086206896551
XGBoost,0.65,1464,10.517241379310345,888,0.6065573770491803,0.4841875681570338,0.5385081867798666,0.8906609195402299
XGBoost,0.7,1447,10.395114942528735,882,0.6095369730476848,0.48091603053435117,0.5376409631209997,0.8910201149425288
XGBoost,0.75,1420,10.201149425287356,867,0.6105633802816901,0.4727371864776445,0.5328826060233559,0.8908045977011494
XGBoost,0.8,1365,9.806034482758621,840,0.6153846153846154,0.4580152671755725,0.5251641137855579,0.8908764367816092
XGBoost,0.85,1207,8.670977011494253,761,0.6304888152444076,0.4149400218102508,0.5004932587964486,0.8908764367816092
XGBoost,0.9,784,5.632183908045977,536,0.6836734693877551,0.29225736095965105,0.4094728800611154,0.8889367816091954
Random Forest,0.1,13920,100.0,1834,0.13175287356321838,1.0,0.2328297575218992,0.13175287356321838
Random Forest,0.15,13920,100.0,1834,0.13175287356321838,1.0,0.2328297575218992,0.13175287356321838
Random Forest,0.2,13856,99.54022988505747,1833,0.1322892609699769,0.9994547437295529,0.23365200764818356,0.13620689655172413
Random Forest,0.25,13077,93.94396551724138,1805,0.13802859983176569,0.9841875681570338,0.24210314532895177,0.18814655172413794
Random Forest,0.3,10678,76.70977011494253,1692,0.15845663982019104,0.9225736095965104,0.270460358056266,0.3442528735632184
Random Forest,0.35,7382,53.0316091954023,1496,0.20265510701706854,0.8157033805888768,0.3246527777777778,0.5528735632183908
Random Forest,0.4,4107,29.504310344827587,1226,0.29851473094716335,0.6684841875681571,0.4127251304494193,0.749353448275862
Random Forest,0.45,2470,17.74425287356322,1035,0.4190283400809717,0.564340239912759,0.4809479553903346,0.8395114942528735
Random Forest,0.5,1851,13.297413793103448,942,0.5089141004862237,0.5136314067611778,0.5112618724559023,0.870617816091954
Random Forest,0.55,1487,10.682471264367816,894,0.6012104909213181,0.48745910577971646,0.5383920505871725,0.8898706896551725
Random Forest,0.6,1474,10.589080459770114,894,0.6065128900949797,0.48745910577971646,0.5405078597339782,0.8908045977011494
Random Forest,0.65,1465,10.524425287356323,887,0.6054607508532424,0.4836423118865867,0.5377387086996059,0.8904454022988506
Random Forest,0.7,1454,10.445402298850574,881,0.6059147180192572,0.480370774263904,0.5358880778588808,0.8903735632183908
Random Forest,0.75,1423,10.222701149425287,869,0.6106816584680252,0.4738276990185387,0.5336198956094566,0.8908764367816092
Random Forest,0.8,1329,9.547413793103448,822,0.618510158013544,0.44820065430752454,0.5197597217831172,0.8908764367816092
Random Forest,0.85,894,6.422413793103448,585,0.6543624161073825,0.31897491821155943,0.42888563049853373,0.8880747126436782
Random Forest,0.9,67,0.4813218390804598,50,0.746268656716418,0.027262813522355506,0.052603892688058915,0.870617816091954
